"ID","Mark","Competitor","Nationality","Venue","Date","Event","Gender","State_Dope","Time_S"
62,"41.85","German Democratic Republic","GDR","Zürich (Letzigrund)",1984-08-22,"4x100-metres-relay","women","GDR",41.85
63,"41.87","German Democratic Republic","GDR","Gateshead",1989-08-05,"4x100-metres-relay","women","GDR",41.87
64,"41.94","German Democratic Republic","GDR","Cottbus",1980-07-17,"4x100-metres-relay","women","GDR",41.94
65,"41.94","German Democratic Republic","GDR","Praha (Stadion Rošický)",1987-06-27,"4x100-metres-relay","women","GDR",41.94
66,"41.95","German Democratic Republic","GDR","Roma (Stadio Olimpico)",1987-09-06,"4x100-metres-relay","women","GDR",41.95
67,"41.97","German Democratic Republic","GDR","Potsdam (Luftschiffafen Stadion)",1982-08-28,"4x100-metres-relay","women","GDR",41.97
68,"41.97","German Democratic Republic","GDR","Leipzig",1983-07-27,"4x100-metres-relay","women","GDR",41.97
69,"41.98","German Democratic Republic","GDR","Dresden",1986-08-17,"4x100-metres-relay","women","GDR",41.98
70,"41.99","German Democratic Republic","GDR","Karl-Marx-Stadt",1982-07-09,"4x100-metres-relay","women","GDR",41.99
71,"42.20","SC Motor Jena","GDR","Erfurt",1984-06-02,"4x100-metres-relay","women","GDR",42.2
72,"42.1","Marita Koch,
Romy Müller,
Ingrid Auerswald,
Marlies Göhr","GDR","Karl-Marx-Stadt",1979-06-10,"4x100-metres-relay","women","GDR",42.1
73,"42.09","Christina Lathan,
Romy Müller,
Ingrid Auerswald,
Marlies Göhr","GDR","Torino",1979-08-04,"4x100-metres-relay","women","GDR",42.09
74,"12.98","Sergey Shubenkov","RUS","Beijing (National Stadium)",2015-08-28,"110-metres-hurdles","men","RUS",12.98
75,"49.16","Antonina Krivoshapka","RUS","Cheboksary",2012-07-05,"400-metres","women","RUS",49.16
76,"49.28","Yulia Gushchina","RUS","Cheboksary",2012-07-05,"400-metres","women","RUS",49.28
77,"52.70","Natalya Antyukh","RUS","London (Olympic Stadium)",2012-08-08,"400-metres-hurdles","women","RUS",52.7
78,"53.77","Irina Davydova","RUS","Helsinki",2012-06-29,"400-metres-hurdles","women","RUS",53.77
79,"53.32","Marina Stepanova","RUS","Stuttgart (EC)",1986-08-30,"400-metres-hurdles","women","NULL",53.32
80,"53.58","Margarita Ponomaryova","RUS","Kiev",1984-06-22,"400-metres-hurdles","women","NULL",53.58
81,"42.59","Federal Republic Germany","FRG","Montréal (Olympic Stadium)",1976-07-31,"4x100-metres-relay","women","NULL",42.59
82,"42.56","Belarus","BLR","Helsinki (Olympic Stadium)",2005-08-13,"4x100-metres-relay","women","NULL",42.56
83,"42.54","Belgium","BEL","Beijing (National Stadium)",2008-08-22,"4x100-metres-relay","women","NULL",42.54
84,"42.51","Jamaica/USA","UND","Lausanne (Pontaise)",2012-08-23,"4x100-metres-relay","women","NULL",42.51
85,"42.51","Adidas","UND","Philadelphia (Franklin Field), PA",1998-04-25,"4x100-metres-relay","women","NULL",42.51
86,"42.50","Louisiana State University","USA","Provo, UT",1989-06-02,"4x100-metres-relay","women","NULL",42.5
87,"42.36","Texas A&M University","USA","Fayetteville, AR",2009-06-12,"4x100-metres-relay","women","NULL",42.36
88,"42.29","Combination","UND","Stockholm",2008-07-22,"4x100-metres-relay","women","NULL",42.29
89,"42.29","Bulgaria","BUL","Sofia",1988-06-26,"4x100-metres-relay","women","NULL",42.29
90,"42.23","Sichuan","CHN","Shanghai",1997-10-23,"4x100-metres-relay","women","NULL",42.23
91,"42.22","USOC West","USA","Durham, NC",1987-07-25,"4x100-metres-relay","women","NULL",42.22
92,"42.08","United States ""B""","USA","Berlin",1987-08-21,"4x100-metres-relay","women","NULL",42.08
93,"42.04","Netherlands","NED","Amsterdam (Olympisch Stadion)",2016-07-10,"4x100-metres-relay","women","NULL",42.04
94,"42.03","Trinidad and Tobago","TTO","Beijing (National Stadium)",2015-08-29,"4x100-metres-relay","women","NULL",42.03
95,"41.98","United States","USA","Seoul (Olympic Stadium)",1988-10-01,"4x100-metres-relay","women","NULL",41.98
96,"41.95","Bahamas","BAH","Sydney (Olympic Stadium)",2000-09-30,"4x100-metres-relay","women","NULL",41.95
97,"41.95","United States","USA","Atlanta (Olympic Stadium), GA",1996-08-03,"4x100-metres-relay","women","NULL",41.95
98,"41.94","United States","USA","Daegu (DS)",2011-09-04,"4x100-metres-relay","women","NULL",41.94
99,"41.94","Jamaica","JAM","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-22,"4x100-metres-relay","women","NULL",41.94
100,"41.92","Bahamas","BAH","Sevilla (La Cartuja)",1999-08-29,"4x100-metres-relay","women","NULL",41.92
101,"41.88","United States","USA","Nassau (T. Robinson Stadium)",2014-05-24,"4x100-metres-relay","women","NULL",41.88
102,"41.87","Jamaica","JAM","Moskva (Luzhniki)",2013-08-18,"4x100-metres-relay","women","NULL",41.87
103,"41.83","United States","USA","Zürich (Letzigrund)",2015-09-03,"4x100-metres-relay","women","NULL",41.83
104,"41.82","United States","USA","Moskva (Luzhniki)",2013-08-18,"4x100-metres-relay","women","NULL",41.82
105,"41.81","Great Britain & N.I.","GBR","London (Olympic Stadium)",2016-07-22,"4x100-metres-relay","women","NULL",41.81
106,"41.79","Team Jet","UND","Walnut, CA",2013-04-20,"4x100-metres-relay","women","NULL",41.79
107,"41.78","Jamaica","JAM","Zürich (Letzigrund)",2013-08-29,"4x100-metres-relay","women","NULL",41.78
108,"41.78","United States","USA","Helsinki (Olympic Stadium)",2005-08-13,"4x100-metres-relay","women","NULL",41.78
109,"41.75","United States ""Red""","USA","Monaco (Stade Louis II)",2013-07-19,"4x100-metres-relay","women","NULL",41.75
110,"41.73","Jamaica","JAM","Athína (Olympic Stadium)",2004-08-27,"4x100-metres-relay","women","NULL",41.73
111,"41.70","Jamaica","JAM","Daegu (DS)",2011-09-04,"4x100-metres-relay","women","NULL",41.7
112,"41.67","United States","USA","Athína (Olympic Stadium)",2004-08-26,"4x100-metres-relay","women","NULL",41.67
113,"41.64","United States","USA","London (Olympic Stadium)",2012-08-09,"4x100-metres-relay","women","NULL",41.64
114,"41.61","United States","USA","Colorado Springs, CO",1983-07-03,"4x100-metres-relay","women","NULL",41.61
115,"41.58","United States","USA","Roma (Stadio Olimpico)",1987-09-06,"4x100-metres-relay","women","NULL",41.58
116,"41.49","United States","USA","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-22,"4x100-metres-relay","women","NULL",41.49
117,"41.49","Russia","RUS","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-22,"4x100-metres-relay","women","NULL",41.49
118,"41.47","United States","USA","Athína (Olympic Stadium)",1997-08-09,"4x100-metres-relay","women","NULL",41.47
119,"41.29","Jamaica","JAM","Moskva (Luzhniki)",2013-08-18,"4x100-metres-relay","women","NULL",41.29
120,"41.07","Jamaica","JAM","Beijing (National Stadium)",2015-08-29,"4x100-metres-relay","women","NULL",41.07
121,"41.60","Jamaica","JAM","Zürich (Letzigrund)",2015-09-03,"4x100-metres-relay","women","NULL",41.6
122,"42.55","Vector Sports","UND","Walnut (Hilmer Lodge), CA",1998-04-19,"4x100-metres-relay","women","NULL",42.55
123,"41.68","United States","USA","Beijing (National Stadium)",2015-08-29,"4x100-metres-relay","women","NULL",41.68
124,"41.99","Jamaica","JAM","Helsinki (Olympic Stadium)",2005-08-13,"4x100-metres-relay","women","NULL",41.99
125,"41.78","United States ""Blue""","USA","Monaco (Stade Louis II)",2013-07-19,"4x100-metres-relay","women","NULL",41.78
126,"41.96","United States","USA","Monaco (Stade Louis II)",2015-07-17,"4x100-metres-relay","women","NULL",41.96
127,"54.02","Anna Ambraziené","URS","Moskva",1983-06-11,"400-metres-hurdles","women","NULL",54.02
128,"53.99","Sara Slott Petersen","DEN","Paris Saint-Denis (Stade de France)",2015-07-04,"400-metres-hurdles","women","NULL",53.99
129,"53.97","Nickiesha Wilson","JAM","Osaka (Nagai Stadium)",2007-08-28,"400-metres-hurdles","women","NULL",53.97
130,"53.96","Anastasiya Rabchenyuk","UKR","Beijing (National Stadium)",2008-08-20,"400-metres-hurdles","women","NULL",53.96
131,"53.96","Yinglan Song","CHN","Guangzhou",2001-11-22,"400-metres-hurdles","women","NULL",53.96
132,"53.93","Yevgeniya Isakova","RUS","Göteborg (Ullevi Stadium)",2006-08-09,"400-metres-hurdles","women","NULL",53.93
133,"53.86","Anna Jesien","POL","Osaka (Nagai Stadium)",2007-08-28,"400-metres-hurdles","women","NULL",53.86
134,"53.85","Angela Morosanu","ROU","Shanghai (SS)",2013-05-18,"400-metres-hurdles","women","NULL",53.85
135,"53.84","Tasha Danvers","GBR","Beijing (National Stadium)",2008-08-20,"400-metres-hurdles","women","NULL",53.84
136,"53.74","Myrtle Simpson-Bothma","RSA","Johannesburg",1986-04-18,"400-metres-hurdles","women","NULL",53.74
137,"53.72","Georganne Moline","USA","Eugene, OR",2013-06-07,"400-metres-hurdles","women","NULL",53.72
138,"53.68","Vania Stambolova","BUL","Rabat",2011-06-05,"400-metres-hurdles","women","NULL",53.68
139,"53.67","Perri Shakes-Drayton","GBR","London (Olympic Stadium)",2013-07-26,"400-metres-hurdles","women","NULL",53.67
140,"53.51","Shamier Little","USA","Eugene (Hayward Field), OR",2016-06-11,"400-metres-hurdles","women","NULL",53.51
141,"53.36","Brenda Taylor","USA","Sacramento, CA",2004-07-11,"400-metres-hurdles","women","NULL",53.36
142,"53.28","Tiffany Williams","USA","Indianapolis, IN",2007-06-24,"400-metres-hurdles","women","NULL",53.28
143,"53.25","Ionela Târlea","ROU","Roma (Stadio Olimpico)",1999-07-07,"400-metres-hurdles","women","NULL",53.25
144,"53.22","Jana Pittman","AUS","Paris Saint-Denis (Stade de France)",2003-08-28,"400-metres-hurdles","women","NULL",53.22
145,"53.22","Tonja Buford-Bailey","USA","Atlanta (Olympic Stadium), GA",1996-07-31,"400-metres-hurdles","women","NULL",53.22
146,"53.18","Deon Hemmings","JAM","Oslo",1997-07-04,"400-metres-hurdles","women","NULL",53.18
147,"53.18","Tatyana Ledovskaya","URS","Seoul (Olympic Stadium)",1988-09-28,"400-metres-hurdles","women","NULL",53.18
148,"53.17","Kim Batten","USA","Johannesburg (SGJ)",1998-09-11,"400-metres-hurdles","women","NULL",53.17
149,"53.11","Tatyana Ledovskaya","URS","Tokyo (Olympic Stadium)",1991-08-29,"400-metres-hurdles","women","NULL",53.11
150,"53.08","Nezha Bidouane","MAR","Lausanne (Pontaise)",1999-07-02,"400-metres-hurdles","women","NULL",53.08
151,"53.08","Kim Batten","USA","Atlanta (Olympic Stadium), GA",1996-07-31,"400-metres-hurdles","women","NULL",53.08
152,"53.07","Zuzana Hejnová","CZE","London (Olympic Stadium)",2013-07-26,"400-metres-hurdles","women","NULL",53.07
153,"53.07","Lashinda Demus","USA","Indianapolis, IN",2006-06-25,"400-metres-hurdles","women","NULL",53.07
154,"53.05","Nezha Bidouane","MAR","Roma (Stadio Olimpico)",1999-07-07,"400-metres-hurdles","women","NULL",53.05
155,"53.03","Lashinda Demus","USA","Eugene (Hayward Field), OR",2010-07-03,"400-metres-hurdles","women","NULL",53.03
156,"53.03","Deon Hemmings","JAM","Johannesburg (SGJ)",1998-09-11,"400-metres-hurdles","women","NULL",53.03
157,"53.02","Lashinda Demus","USA","Athína (Olympic Stadium)",2006-07-03,"400-metres-hurdles","women","NULL",53.02
158,"52.98","Deon Hemmings","JAM","Zürich",1997-08-13,"400-metres-hurdles","women","NULL",52.98
159,"52.97","Kim Batten","USA","Indianapolis, IN",1997-06-14,"400-metres-hurdles","women","NULL",52.97
160,"52.96","Nezha Bidouane","MAR","Johannesburg (SGJ)",1998-09-11,"400-metres-hurdles","women","NULL",52.96
161,"52.95","Sheena Tosta","USA","Sacramento, CA",2004-07-11,"400-metres-hurdles","women","NULL",52.95
162,"52.92","Natalya Antyukh","RUS","Barcelona (Estadio Olímpico)",2010-07-30,"400-metres-hurdles","women","NULL",52.92
163,"52.90","Yuliya Pechenkina","RUS","Helsinki (Olympic Stadium)",2005-08-13,"400-metres-hurdles","women","NULL",52.9
164,"52.89","Daimí Pernía","CUB","Sevilla (La Cartuja)",1999-08-25,"400-metres-hurdles","women","NULL",52.89
165,"52.84","Kim Batten","USA","Zürich",1998-08-12,"400-metres-hurdles","women","NULL",52.84
166,"52.82","Lashinda Demus","USA","Roma (Stadio Olimpico)",2010-06-10,"400-metres-hurdles","women","NULL",52.82
167,"52.79","Kaliese Spencer","JAM","London (Crystal Palace)",2011-08-05,"400-metres-hurdles","women","NULL",52.79
168,"52.79","Sandra Farmer-Patrick","USA","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-19,"400-metres-hurdles","women","NULL",52.79
169,"52.77","Lashinda Demus","USA","London (Olympic Stadium)",2012-08-08,"400-metres-hurdles","women","NULL",52.77
170,"52.74","Sally Gunnell","GBR","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-19,"400-metres-hurdles","women","NULL",52.74
171,"52.73","Melaine Walker","JAM","Daegu (DS)",2011-09-01,"400-metres-hurdles","women","NULL",52.73
172,"52.64","Melaine Walker","JAM","Beijing (National Stadium)",2008-08-20,"400-metres-hurdles","women","NULL",52.64
173,"52.63","Lashinda Demus","USA","Monaco (Stade Louis II)",2009-07-28,"400-metres-hurdles","women","NULL",52.63
174,"52.61","Kim Batten","USA","Göteborg (Ullevi Stadium)",1995-08-11,"400-metres-hurdles","women","NULL",52.61
175,"52.47","Lashinda Demus","USA","Daegu (DS)",2011-09-01,"400-metres-hurdles","women","NULL",52.47
176,"42.45","Speed Divas","USA","Austin (Myers Stadium), TX",2011-04-09,"4x100-metres-relay","women","NULL",42.45
177,"52.34","Yuliya Pechenkina","RUS","Tula (Arsenal Stadium)",2003-08-08,"400-metres-hurdles","women","NULL",52.34
178,"12.46","Sharika Nelvis","USA","Monaco (Stade Louis II)",2015-07-17,"100-metres-hurdles","women","NULL",12.46
179,"12.46","Queen Harrison","USA","Paris Saint-Denis (Stade de France)",2014-07-05,"100-metres-hurdles","women","NULL",12.46
180,"12.46","Brigitte Foster-Hylton","JAM","Zürich (Letzigrund)",2009-08-28,"100-metres-hurdles","women","NULL",12.46
181,"12.46","Michelle Perry","USA","Osaka (Nagai Stadium)",2007-08-29,"100-metres-hurdles","women","NULL",12.46
182,"12.46","Perdita Felicien","CAN","Eugene, OR",2004-06-19,"100-metres-hurdles","women","NULL",12.46
183,"12.46","Glory Alozie","NGR","Salamanca (Helmántico)",1998-07-10,"100-metres-hurdles","women","NULL",12.46
184,"12.45","Ginnie Crawford","USA","New York City (Icahn), NY",2007-06-02,"100-metres-hurdles","women","NULL",12.45
185,"12.45","Gail Devers","USA","Monaco (Stade Louis II)",2003-09-14,"100-metres-hurdles","women","NULL",12.45
186,"12.45","Brigitte Foster-Hylton","JAM","Eugene, OR",2003-05-24,"100-metres-hurdles","women","NULL",12.45
187,"12.45","Yordanka Donkova","BUL","Budapest",1988-08-12,"100-metres-hurdles","women","NULL",12.45
188,"12.45","Lucyna Kalek-Langer","POL","Athína",1982-09-08,"100-metres-hurdles","women","NULL",12.45
189,"12.44","Dawn Harper Nelson","USA","Paris Saint-Denis (Stade de France)",2014-07-05,"100-metres-hurdles","women","NULL",12.44
190,"12.44","Brianna Rollins","USA","Moskva (Luzhniki)",2013-08-17,"100-metres-hurdles","women","NULL",12.44
191,"12.44","Michelle Perry","USA","Roma (Stadio Olimpico)",2007-07-13,"100-metres-hurdles","women","NULL",12.44
192,"12.44","Glory Alozie","NGR","Monaco (Stade Louis II)",1998-08-08,"100-metres-hurdles","women","NULL",12.44
193,"12.44","Olga Shishigina","KAZ","Luzern",1995-06-27,"100-metres-hurdles","women","NULL",12.44
194,"12.44","Natalya Grigoryeva","UKR","Caorle",1991-07-20,"100-metres-hurdles","women","NULL",12.44
195,"12.44","Natalya Grigoryeva","UKR","Paris Saint-Denis",1991-07-19,"100-metres-hurdles","women","NULL",12.44
196,"12.44","Lucyna Kalek-Langer","POL","Warszawa",1980-06-13,"100-metres-hurdles","women","NULL",12.44
197,"12.43","Dawn Harper Nelson","USA","Lausanne (Pontaise)",2012-08-23,"100-metres-hurdles","women","NULL",12.43
198,"12.43","LoLo Jones","USA","Beijing (National Stadium)",2008-08-18,"100-metres-hurdles","women","NULL",12.43
199,"12.43","Michelle Perry","USA","Lausanne (Pontaise)",2006-07-11,"100-metres-hurdles","women","NULL",12.43
200,"12.43","Michelle Perry","USA","Carson, CA",2005-06-26,"100-metres-hurdles","women","NULL",12.43
201,"12.43","Ginka Zagorcheva","BUL","Budapest",1987-07-06,"100-metres-hurdles","women","NULL",12.43
202,"12.43","Lucyna Kalek-Langer","POL","Hannover",1984-08-19,"100-metres-hurdles","women","NULL",12.43
203,"12.42","Gail Devers","USA","Monaco (Stade Louis II)",2002-07-19,"100-metres-hurdles","women","NULL",12.42
204,"12.42","Ludmila Engquist","EUN","Roma (Stadio Olimpico)",1992-06-09,"100-metres-hurdles","women","NULL",12.42
205,"53.47","Janeene Vickers","USA","Tokyo (Olympic Stadium)",1991-08-29,"400-metres-hurdles","women","NULL",53.47
206,"12.42","Yordanka Donkova","BUL","Bruxelles",1986-09-05,"100-metres-hurdles","women","NULL",12.42
207,"12.42","Ginka Zagorcheva","BUL","Sofia",1985-08-14,"100-metres-hurdles","women","NULL",12.42
208,"12.40","Jasmin Stowers","USA","Des Moines, IA",2015-04-25,"100-metres-hurdles","women","NULL",12.4
209,"12.40","Sally Pearson","AUS","Paris Saint-Denis (Stade de France)",2012-07-06,"100-metres-hurdles","women","NULL",12.4
210,"12.40","Gail Devers","USA","Lausanne (Pontaise)",2002-07-02,"100-metres-hurdles","women","NULL",12.4
211,"12.40","Yordanka Donkova","BUL","Moskva",1986-07-08,"100-metres-hurdles","women","NULL",12.4
212,"12.39","Jasmin Stowers","USA","Kingston (NS), JAM",2015-05-09,"100-metres-hurdles","women","NULL",12.39
213,"12.39","Natalya Grigoryeva","URS","Kyiv",1991-07-11,"100-metres-hurdles","women","NULL",12.39
214,"12.39","Ginka Zagorcheva","BUL","Ljubljana",1986-09-07,"100-metres-hurdles","women","NULL",12.39
215,"12.39","Vera Komisova","URS","Roma (Stadio Olimpico)",1980-08-05,"100-metres-hurdles","women","NULL",12.39
216,"12.38","Yordanka Donkova","BUL","Seoul (Olympic Stadium)",1988-09-30,"100-metres-hurdles","women","NULL",12.38
217,"12.38","Yordanka Donkova","BUL","Budapest",1986-08-11,"100-metres-hurdles","women","NULL",12.38
218,"12.37","Sharika Nelvis","USA","Eugene (Hayward Field), OR",2015-06-27,"100-metres-hurdles","women","NULL",12.37
219,"12.37","Dawn Harper Nelson","USA","London (Olympic Stadium)",2012-08-07,"100-metres-hurdles","women","NULL",12.37
220,"12.37","Joanna Hayes","USA","Athína (Olympic Stadium)",2004-08-24,"100-metres-hurdles","women","NULL",12.37
221,"12.37","Gail Devers","USA","Sevilla (La Cartuja)",1999-08-28,"100-metres-hurdles","women","NULL",12.37
222,"12.37","Yordanka Donkova","BUL","Berlin",1986-08-15,"100-metres-hurdles","women","NULL",12.37
223,"12.36","Kendra Harrison","USA","Athens, GA",2016-04-08,"100-metres-hurdles","women","NULL",12.36
224,"12.36","Sally Pearson","AUS","Daegu (DS)",2011-09-03,"100-metres-hurdles","women","NULL",12.36
225,"12.36","Yordanka Donkova","BUL","Schwechat",1988-06-15,"100-metres-hurdles","women","NULL",12.36
226,"12.35","Jasmin Stowers","USA","Doha (Hamad Bin Suhaim)",2015-05-15,"100-metres-hurdles","women","NULL",12.35
227,"12.35","Sally Pearson","AUS","London (Olympic Stadium)",2012-08-07,"100-metres-hurdles","women","NULL",12.35
228,"12.35","Yordanka Donkova","BUL","Köln",1986-08-17,"100-metres-hurdles","women","NULL",12.35
229,"12.32","Ludmila Engquist","EUN","Saint-Denis",1992-06-04,"100-metres-hurdles","women","NULL",12.32
230,"12.28","Sally Pearson","AUS","Daegu (DS)",2011-09-03,"100-metres-hurdles","women","NULL",12.28
231,"12.28","Ludmila Engquist","EUN","Sevilla",1992-06-06,"100-metres-hurdles","women","NULL",12.28
232,"12.27","Yordanka Donkova","BUL","Stara Zagora (Beroe Stadium)",1988-08-28,"100-metres-hurdles","women","NULL",12.27
233,"42.22","Unattached","UND","Gainesville, FL",2016-04-22,"4x100-metres-relay","women","NULL",42.22
234,"12.26","Brianna Rollins","USA","Des Moines, IA",2013-06-22,"100-metres-hurdles","women","NULL",12.26
235,"12.26","Yordanka Donkova","BUL","Ljubljana",1986-09-07,"100-metres-hurdles","women","NULL",12.26
236,"12.24","Yordanka Donkova","BUL","Stara Zagora (Beroe Stadium)",1988-08-28,"100-metres-hurdles","women","NULL",12.24
237,"12.21","Yordanka Donkova","BUL","Stara Zagora (Beroe Stadium)",1988-08-20,"100-metres-hurdles","women","NULL",12.21
238,"53.23","Nezha Bidouane","MAR","Monaco (Stade Louis II)",1998-08-08,"400-metres-hurdles","women","NULL",53.23
239,"42.00","Germany","GER","Regensburg",2016-06-05,"4x100-metres-relay","women","NULL",42
240,"52.96","Lashinda Demus","USA","Berlin (Olympiastadion)",2009-08-20,"400-metres-hurdles","women","NULL",52.96
241,"12.42","Gail Devers","USA","Stockholm",2002-07-16,"100-metres-hurdles","women","NULL",12.42
